 name        | s_normalize | s_total_pro | s_win_rate  | s_num_trade | s_max_drawd | s_max_winni | p_fast_peri | p_slow_peri | p_min_gap   | p_slope_thr | p_tp_pct    | p_sl_pct    | p_warmup_co
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Bot_41      | 0.38        | 53.87       | 0.47        | 32.00       | 4.41        | 7.00        | 21.00       | 150.00      | 1.00        | 0.50        | 1.50        | 1.00        | 150.00     
 Bot_81      | 0.38        | 124.39      | 0.55        | 33.00       | 5.33        | 6.00        | 50.00       | 150.00      | 0.00        | 0.50        | 1.50        | 1.00        | 150.00     
 Bot_43      | 0.37        | 119.80      | 0.62        | 21.00       | 2.05        | 5.00        | 21.00       | 150.00      | 1.00        | 1.00        | 1.50        | 1.00        | 150.00     
 Bot_82      | 0.36        | 216.45      | 0.55        | 31.00       | 3.41        | 5.00        | 50.00       | 150.00      | 0.00        | 0.50        | 2.00        | 1.00        | 150.00     
 Bot_35      | 0.36        | 135.75      | 0.56        | 32.00       | 3.74        | 5.00        | 21.00       | 150.00      | 0.00        | 1.00        | 1.50        | 1.00        | 150.00     
 Bot_65      | 0.35        | 124.39      | 0.55        | 33.00       | 6.46        | 5.00        | 50.00       | 100.00      | 0.00        | 0.50        | 1.50        | 1.00        | 100.00     
 Bot_33      | 0.35        | -25.74      | 0.39        | 82.00       | 19.84       | 6.00        | 21.00       | 150.00      | 0.00        | 0.50        | 1.50        | 1.00        | 150.00     
 Bot_44      | 0.33        | 158.56      | 0.57        | 21.00       | 2.17        | 4.00        | 21.00       | 150.00      | 1.00        | 1.00        | 2.00        | 1.00        | 150.00     
 Bot_36      | 0.32        | 168.87      | 0.50        | 32.00       | 4.34        | 4.00        | 21.00       | 150.00      | 0.00        | 1.00        | 2.00        | 1.00        | 150.00     
 Bot_52      | 0.32        | 157.53      | 0.50        | 30.00       | 4.17        | 4.00        | 21.00       | 200.00      | 0.00        | 1.00        | 2.00        | 1.00        | 200.00     
 Bot_49      | 0.32        | -29.00      | 0.38        | 60.00       | 12.47       | 5.00        | 21.00       | 200.00      | 0.00        | 0.50        | 1.50        | 1.00        | 200.00     
 Bot_107     | 0.32        | 60.97       | 0.67        | 9.00        | 2.08        | 3.00        | 50.00       | 200.00      | 1.00        | 1.00        | 1.50        | 1.00        | 200.00     
 Bot_99      | 0.32        | 60.97       | 0.67        | 9.00        | 2.08        | 3.00        | 50.00       | 200.00      | 0.00        | 1.00        | 1.50        | 1.00        | 200.00     
 Bot_1       | 0.31        | -21.75      | 0.39        | 94.00       | 13.35       | 4.00        | 21.00       | 50.00       | 0.00        | 0.50        | 1.50        | 1.00        | 50.00      
 Bot_51      | 0.31        | 53.87       | 0.47        | 32.00       | 5.12        | 4.00        | 21.00       | 200.00      | 0.00        | 1.00        | 1.50        | 1.00        | 200.00     
 Bot_42      | 0.31        | 101.12      | 0.44        | 32.00       | 4.08        | 4.00        | 21.00       | 150.00      | 1.00        | 0.50        | 2.00        | 1.00        | 150.00     
 Bot_73      | 0.30        | 86.95       | 0.58        | 19.00       | 3.17        | 3.00        | 50.00       | 100.00      | 1.00        | 0.50        | 1.50        | 1.00        | 100.00     
 Bot_34      | 0.29        | 2.01        | 0.34        | 80.00       | 13.56       | 4.00        | 21.00       | 150.00      | 0.00        | 0.50        | 2.00        | 1.00        | 150.00     
 Bot_50      | 0.29        | 34.53       | 0.36        | 59.00       | 9.91        | 4.00        | 21.00       | 200.00      | 0.00        | 0.50        | 2.00        | 1.00        | 200.00     
 Bot_108     | 0.29        | 60.58       | 0.56        | 9.00        | 3.15        | 3.00        | 50.00       | 200.00      | 1.00        | 1.00        | 2.00        | 1.00        | 200.00     
 Bot_100     | 0.29        | 60.58       | 0.56        | 9.00        | 3.15        | 3.00        | 50.00       | 200.00      | 0.00        | 1.00        | 2.00        | 1.00        | 200.00     
 Bot_18      | 0.29        | -27.18      | 0.32        | 77.00       | 11.69       | 4.00        | 21.00       | 100.00      | 0.00        | 0.50        | 2.00        | 1.00        | 100.00     
